Country Name,Country Code,Series Name,Series Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11437.7131376782,11364.2394626146,11624.6209607028,14254.5135644484,17798.5563713427,18211.5000581403,18821.7952597366,18570.1204617916,17634.534752009,18046.1364806876,20319.6306283956,21861.32550987,23468.5968306374,21318.9641694318,20533.035061907,21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.9228108485,40960.0544948199,49601.6567082178,42772.3591664498,52022.1255961876,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54027.9668184568,57354.9640455891,55060.3261005013,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,9172.09676001833,13083.0726621044,16392.7695234749,17578.6189397397,17468.9461372569,21680.989623313,22410.9117666654,24880.1641180361,24081.5277928004,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45276.8314351693,47426.5119597773,51478.2852619277,50137.6627762476,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,1237.324491677,1209.23749284959,676.15151145252,529.813661843287,436.216868966934,397.198116117247,409.210755159618,505.563774721979,561.907035403795,573.893296585846,655.097432602586,703.683843432722,763.080637985358,883.64399654717,1045.00937916805,1578.40239029603,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4793.58701966989,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,9893.08417669176,10344.4524866432,11156.2820886994,11387.709081798,12163.6813608069,12356.4238963715,11919.7878992215,11686.6958113589,11406.6898096057,11814.5631983063,12238.3862033521,12708.730958032,22036.4841069328,23514.4203140432,26130.1018152634,27097.6108115725,27486.2367737544,28866.8010141065,28327.2708691945,28395.9246646221,30278.3669222647,30713.7052801382,31472.09897181,30627.2386311725,28552.1904783698,28443.4076553352,28006.3797183913,29485.6209294138,28783.5541223636,29980.0611386466,31295.0620781067,31562.6397411168,32718.6381008013,33767.5033710196,34863.7420984795,..
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,8706.76660148502,7041.60195861695,7555.10046448055,7958.74792458539,8030.90465921389,8528.98333446095,9055.67993615686,9082.75853260694,9698.18906295446,10130.5052329617,10376.9717049211,10544.7035702291,10672.166005162,10076.2206220379,10401.5458114095,13636.3962320368,12868.269156127,13049.8032204458,14222.0367965749,15846.5441389804,17959.2554402285,19307.609663318,20976.5435328438,23066.5337586893,19355.9046720264,20722.1372891347,22514.2379458146,23654.3513912828,24744.296958551,24989.4001204704,22634.118645445,22608.484275925,23742.9850166355,23991.05667694,23503.977126673,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,245.453904178514,233.658047126004,253.974463110316,270.69960091549,285.829214029315,306.268703808998,293.160415517259,293.644998454252,300.555753175017,299.533039744954,329.424084643072,394.717475124248,401.498690814146,407.429186160797,409.543196853608,418.068968311378,415.034426620147,413.080254575162,446.310659190362,475.291919786935,499.461940239156,509.640142873216,558.051860266708,634.987056467494,702.264410019296,781.153593557047,861.758444349051,883.105000541313,981.839879150399,1118.8536634927,1248.45339778371,1401.62062821515,1563.91369862485,1698.35039428122,1855.73982408046,..
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,5500.34972242119,6019.88737457493,6605.60000527539,6999.68691337312,7717.2961943996,7711.2067988566,7714.94893981875,7444.29144191779,7819.42183405236,8121.56191861473,8335.89929257052,8850.98017019495,9315.82861834235,10459.3648021332,10914.443668333,11268.2540559453,11209.1743119266,11361.433665539,11699.4557629707,12512.5325118786,13822.5916771315,15199.4579730933,16770.7212055974,17092.5821408414,15885.5797142695,16056.3709766031,16458.3532105715,16249.5593937258,16451.1635759912,16489.0722373387,16525.0732500596,16900.166552366,17391.4258663397,17745.1934649963,18148.2449264001,..
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,2124.84051428011,1765.74455562095,1667.68177731373,1590.09588197453,1460.0590758956,1370.67655885011,1452.44548758328,1396.5017856782,1511.77005267883,1210.6117195862,1276.2880341,1244.37318523431,1479.31458271677,1819.76605926177,2378.62328600741,3125.81053502853,3847.43412382153,4735.65760793999,6377.36973201232,5351.35538243278,6029.3967998293,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187,6663.29529282582,..
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,8750.81851250536,12170.0406962702,15135.8523116968,16391.093827791,16525.0617432848,20600.3752789827,21041.6606519648,23372.619171015,22283.9360213551,24208.5547931447,28413.8264387368,27489.5551770488,24820.9380503896,25338.4432934904,25244.2750474813,23041.5347290428,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.7059429767,44262.8960009954,48106.892915788,44583.5448070814,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.5403601178,40991.8081381432,41984.1030335609,44192.6230270333,47583.0749405066,46420.6637668061,..
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1289.36728897294,1366.04972952188,1612.451575183,1787.95138342857,2011.96872880293,2197.18502331181,2326.82155414173,2666.88159980239,2832.97532663367,2880.12544625149,2996.38292834951,3001.83372023364,2952.94859644372,2992.4447542607,3066.05352570004,3364.33293572974,3404.4530174898,3525.63858250311,3650.36652129535,3802.29580765559,3883.19238900634,4153.89473756475,4252.48725022991,4404.33083569354,4186.48996519998,4270.86434454699,4423.48979672175,4505.62130177515,4568.50295763852,4705.60268956266,4775.95564827821,4818.40390879479,4887.5772083381,4884.7341615523,4815.1637107951,..
